charlie_pattern,delta_set,delta_entity,delta_mod1,delta_mod2,delta_sidc,label
"E*IPB-----*****",40,110100,00,00,10034000001101000000,"INCIDENT CRIMINAL ACTIVITY INCIDENT"
"O*OPA-----*****",40,110101,00,00,10034000001101010000,"INCIDENT CRIMINAL ACTIVITY INCIDENT ARREST"
"O*VPA-----*****",40,110102,00,00,10034000001101020000,"INCIDENT CRIMINAL ACTIVITY INCIDENT ARSON"
"O*OPKA----*****",40,110103,05,00,10034000001101030500,"INCIDENT CRIMINAL ACTIVITY INCIDENT ATTEMPTED CRIMINAL ACTIVITY KIDNAPPING MOD"
"O*RPA-----*****",40,110103,08,00,10034000001101030800,"INCIDENT CRIMINAL ACTIVITY INCIDENT ATTEMPTED CRIMINAL ACTIVITY RAPE MOD"
"O*VPD-----*****",40,110104,00,00,10034000001101040000,"INCIDENT CRIMINAL ACTIVITY INCIDENT DRIVE BY SHOOTING"
"O*OPU-----*****",40,110105,00,00,10034000001101050000,"INCIDENT CRIMINAL ACTIVITY INCIDENT DRUG RELATED"
"O*OPE-----*****",40,110106,00,00,10034000001101060000,"INCIDENT CRIMINAL ACTIVITY INCIDENT EXTORTION"
"O*IPG-----*****",40,110107,00,00,10034000001101070000,"INCIDENT CRIMINAL ACTIVITY INCIDENT GRAFFITI"
"O*VPM-----*****",40,110108,00,00,10034000001101080000,"INCIDENT CRIMINAL ACTIVITY INCIDENT KILLING"
"O*VPMC----*****",40,110108,01,00,10034000001101080100,"INCIDENT CRIMINAL ACTIVITY INCIDENT KILLING ASSASSINATION MOD"
"O*VPMB----*****",40,110108,02,00,10034000001101080200,"INCIDENT CRIMINAL ACTIVITY INCIDENT KILLING EXECUTION WRONGFUL KILLING MOD"
"O*VPMA----*****",40,110108,06,00,10034000001101080600,"INCIDENT CRIMINAL ACTIVITY INCIDENT KILLING MURDER MOD"
"O*VPP-----*****",40,110109,00,00,10034000001101090000,"INCIDENT CRIMINAL ACTIVITY INCIDENT POISONING"
"E*IPAC----*****",40,110110,00,00,10034000001101100000,"INCIDENT CRIMINAL ACTIVITY INCIDENT CIVIL RIOTING"
"O*VPY-----*****",40,110111,00,00,10034000001101110000,"INCIDENT CRIMINAL ACTIVITY INCIDENT BOOBY TRAP"
"O*IPV-----*****",40,110114,00,00,10034000001101140000,"INCIDENT CRIMINAL ACTIVITY INCIDENT VANDALISM LOOT RANSACK PLUNDER"
"O*VPB-----*****",40,110200,00,00,10034000001102000000,"INCIDENT BOMB BOMBING"
"E*IPBA----*****",40,110201,00,00,10034000001102010000,"INCIDENT BOMB BOMBING BOMB THREAT"
"O*VPEI----*****",40,110301,00,00,10034000001103010000,"INCIDENT IED EVENT IED EXPLOSION"
"E*IPBF----*****",40,110400,00,00,10034000001104000000,"INCIDENT SHOOTING"
"O*VPS-----*****",40,110401,00,00,10034000001104010000,"INCIDENT SHOOTING SNIPING"
"O*VPE-----*****",40,110600,00,00,10034000001106000000,"INCIDENT EXPLOSION"
"E*IPBC----*****",40,110606,00,00,10034000001106060000,"INCIDENT EXPLOSION BOMB EXPLOSION"
"E*IPA-----*****",40,120000,00,00,10034000001200000000,"CIVIL DISTURBANCE"
"O*OPD-----*****",40,120100,00,00,10034000001201000000,"CIVIL DISTURBANCE DEMONSTRATION"
"O*OPP-----*****",40,130100,00,00,10034000001301000000,"OPERATION PATROLLING"
"O*OPY-----*****",40,130200,00,00,10034000001302000000,"OPERATION MILITARY INFORMATION SUPPORT OPERATION MISO"
"O*OPYH----*****",40,130200,04,00,10034000001302000400,"OPERATION MILITARY INFORMATION SUPPORT OPERATION MISO HOUSE TO HOUSE MOD"
"O*OPYW----*****",40,130200,09,00,10034000001302000900,"OPERATION MILITARY INFORMATION SUPPORT OPERATION MISO WRITTEN PSYCHOLOGICAL OPERATIONS MOD"
"O*OPYT----*****",40,130201,00,00,10034000001302010000,"OPERATION MILITARY INFORMATION SUPPORT OPERATION MISO TV AND RADIO PROPAGANDA"
"O*OPF-----*****",40,130300,00,00,10034000001303000000,"OPERATION FORAGING SEARCHING"
"O*OPRW----*****",40,130401,00,00,10034000001304010000,"OPERATION RECRUITMENT WILLING"
"O*OPRC----*****",40,130402,00,00,10034000001304020000,"OPERATION RECRUITMENT COERCED IMPRESSED"
"O*OPM-----*****",40,130500,00,00,10034000001305000000,"OPERATION MINE LAYING"
"O*OPS-----*****",40,130600,00,00,10034000001306000000,"OPERATION SPY"
"E*OPB-----*****",40,131200,00,00,10034000001312000000,"OPERATION EMERGENCY OPERATION"
"E*OPBD----*****",40,131201,00,00,10034000001312010000,"OPERATION EMERGENCY OPERATION EMERGENCY COLLECTION EVACUATION POINT"
"O*OPO-----*****",40,131202,00,00,10034000001312020000,"OPERATION EMERGENCY OPERATION EMERGENCY FOOD DISTRIBUTION"
"E*OPBE----H****",40,131203,00,00,10034000001312030000,"OPERATION EMERGENCY OPERATION EMERGENCY INCIDENT COMMAND CENTER"
"E*OPBF----H****",40,131204,00,00,10034000001312040000,"OPERATION EMERGENCY OPERATION EMERGENCY OPERATIONS CENTER"
"E*OPBG----H****",40,131205,00,00,10034000001312050000,"OPERATION EMERGENCY OPERATION EMERGENCY PUBLIC INFORMATION CENTER"
"E*OPBH----H****",40,131206,00,00,10034000001312060000,"OPERATION EMERGENCY OPERATION EMERGENCY SHELTER"
"E*OPBI----H****",40,131207,00,00,10034000001312070000,"OPERATION EMERGENCY OPERATION EMERGENCY STAGING AREA"
"E*OPBK----H****",40,131208,00,00,10034000001312080000,"OPERATION EMERGENCY OPERATION EMERGENCY WATER DISTRIBUTION CENTER"
"E*OPAD----H****",40,131301,00,00,10034000001313010000,"OPERATION EMERGENCY MEDICAL OPERATION EMT STATION LOCATION"
"E*OPAG----H****",40,131302,00,00,10034000001313020000,"OPERATION EMERGENCY MEDICAL OPERATION HEALTH DEPARTMENT FACILITY"
"E*OPAJ----H****",40,131303,00,00,10034000001313030000,"OPERATION EMERGENCY MEDICAL OPERATION MEDICAL FACILITIES OUTPATIENT"
"E*OPAK----H****",40,131304,00,00,10034000001313040000,"OPERATION EMERGENCY MEDICAL OPERATION MORGUE"
