family,code,label
delta,40110000,"Incident"
delta,40110100,"Incident / Criminal Activity Incident"
delta,40110101,"Incident / Criminal Activity Incident / Arrest"
delta,40110102,"Incident / Criminal Activity Incident / Arson"
delta,40110103,"Incident / Criminal Activity Incident / Attempted Criminal Activity"
delta,40110104,"Incident / Criminal Activity Incident / Drive-by Shooting"
delta,40110105,"Incident / Criminal Activity Incident / Drug Related"
delta,40110106,"Incident / Criminal Activity Incident / Extortion"
delta,40110107,"Incident / Criminal Activity Incident / Graffiti"
delta,40110108,"Incident / Criminal Activity Incident / Killing"
delta,40110109,"Incident / Criminal Activity Incident / Poisoning"
delta,40110110,"Incident / Criminal Activity Incident / Civil Rioting"
delta,40110111,"Incident / Criminal Activity Incident / Booby Trap"
delta,40110112,"Incident / Criminal Activity Incident / Home Eviction"
delta,40110113,"Incident / Criminal Activity Incident / Black Marketing"
delta,40110114,"Incident / Criminal Activity Incident / Vandalism / Loot / Ransack / Plunder"
delta,40110115,"Incident / Criminal Activity Incident / Jail Break"
delta,40110116,"Incident / Criminal Activity Incident / Robbery"
delta,40110117,"Incident / Criminal Activity Incident / Theft"
delta,40110118,"Incident / Criminal Activity Incident / Burglary"
delta,40110119,"Incident / Criminal Activity Incident / Smuggling"
delta,40110120,"Incident / Criminal Activity Incident / Rock Throwing"
delta,40110121,"Incident / Criminal Activity Incident / Dead Body"
delta,40110122,"Incident / Criminal Activity Incident / Sabotage"
delta,40110123,"Incident / Criminal Activity Incident / Suspicious Activity"
delta,40110200,"Incident / Bomb/Bombing"
delta,40110201,"Incident / Bomb/Bombing / Bomb Threat"
delta,40110300,"Incident / IED Event"
delta,40110301,"Incident / IED Event / IED Explosion"
delta,40110302,"Incident / IED Event / Premature IED Explosion"
delta,40110303,"Incident / IED Event / IED Cache"
delta,40110304,"Incident / IED Event / IED Suicide Bomber"
delta,40110400,"Incident / Shooting"
delta,40110401,"Incident / Shooting / Sniping"
delta,40110500,"Incident / Illegal Drug Operation"
delta,40110501,"Incident / Illegal Drug Operation / Trafficking"
delta,40110502,"Incident / Illegal Drug Operation / Illegal Drug Lab"
delta,40110600,"Incident / Explosion"
delta,40110601,"Incident / Explosion / Grenade Explosion"
delta,40110602,"Incident / Explosion / Incendiary Explosion"
delta,40110603,"Incident / Explosion / Mine Explosion"
delta,40110604,"Incident / Explosion / Mortar Fire Explosion"
delta,40110605,"Incident / Explosion / Rocket Explosion"
delta,40110606,"Incident / Explosion / Bomb Explosion"
delta,40120000,"Civil Disturbance"
delta,40120100,"Civil Disturbance / Demonstration"
delta,40130000,"Operation"
delta,40130100,"Operation / Patrolling"
delta,40130200,"Operation / Military Information Support Operation (MISO)"
delta,40130201,"Operation / Military Information Support Operation (MISO) / TV and Radio Propaganda"
delta,40130300,"Operation / Foraging/Searching"
delta,40130400,"Operation / Recruitment"
delta,40130401,"Operation / Recruitment / Willing"
delta,40130402,"Operation / Recruitment / Coerced/Impressed"
delta,40130500,"Operation / Mine Laying"
delta,40130600,"Operation / Spy"
delta,40130700,"Operation / Warrant Served"
delta,40130800,"Operation / Exfiltration"
delta,40130900,"Operation / Infiltration"
delta,40131000,"Operation / Meeting"
delta,40131001,"Operation / Meeting / Polling Place/Election"
delta,40131100,"Operation / Raid on House"
delta,40131200,"Operation / Emergency Operation"
delta,40131201,"Operation / Emergency Operation / Emergency Collection Evacuation Point"
delta,40131202,"Operation / Emergency Operation / Emergency Food Distribution"
delta,40131203,"Operation / Emergency Operation / Emergency Incident Command Center"
delta,40131204,"Operation / Emergency Operation / Emergency Operations Center"
delta,40131205,"Operation / Emergency Operation / Emergency Public Information Center"
delta,40131206,"Operation / Emergency Operation / Emergency Shelter"
delta,40131207,"Operation / Emergency Operation / Emergency Staging Area"
delta,40131208,"Operation / Emergency Operation / Emergency Water Distribution Center"
delta,40131300,"Operation / Emergency Medical Operation"
delta,40131301,"Operation / Emergency Medical Operation / EMT Station Location"
delta,40131302,"Operation / Emergency Medical Operation / Health Department Facility"
delta,40131303,"Operation / Emergency Medical Operation / Medical Facilities Outpatient"
delta,40131304,"Operation / Emergency Medical Operation / Morgue"
delta,40131305,"Operation / Emergency Medical Operation / Pharmacy"
delta,40131306,"Operation / Emergency Medical Operation / Triage"
delta,40131400,"Operation / Fire Fighting Operation"
delta,40131401,"Operation / Fire Fighting Operation / Fire Hydrant"
delta,40131402,"Operation / Fire Fighting Operation / Fire Station"
delta,40131403,"Operation / Fire Fighting Operation / Other Water Supply Location"
delta,40131500,"Operation / Law Enforcement Operation"
delta,40131501,"Operation / Law Enforcement Operation / Bureau of Alcohol,Tobacco,Firearms and Explosives (ATF) (Department of Justice)"
delta,40131502,"Operation / Law Enforcement Operation / Border Patrol"
delta,40131503,"Operation / Law Enforcement Operation / Customs Service"
delta,40131504,"Operation / Law Enforcement Operation / Drug Enforcement Administration (DEA)"
delta,40131505,"Operation / Law Enforcement Operation / Department of Justice (DOJ)"
delta,40131506,"Operation / Law Enforcement Operation / Federal Bureau of Investigation (FBI)"
